Ranking,ID_Cliente,Probabilidade_Churn,Faixa_Risco,Principais_Fatores_de_Risco,Meses_de_Contrato,Tipo_Contrato,Servico_Internet,Mensalidade,Total_Pago,Forma_Pagamento,Fatura_Sem_Papel,Genero,Idoso,Tem_Parceiro,Tem_Dependentes
457,5035-BVCXS,47.0,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",11,Month-to-month,Fiber optic,75.9,866.4,Mailed check,Yes,Male,0,No,No
458,6145-NNPNO,47.0,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,DSL,44.15,44.15,Bank transfer (automatic),No,Female,0,No,No
459,7315-WYOAW,47.0,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",13,Month-to-month,Fiber optic,100.75,1313.25,Electronic check,No,Male,0,No,No
460,2603-HVKCG,46.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",31,Month-to-month,Fiber optic,101.4,3143.65,Electronic check,Yes,Male,0,No,No
461,2675-DHUTR,46.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",58,Month-to-month,Fiber optic,98.9,5780.7,Electronic check,Yes,Male,1,Yes,No
462,5947-SGKCL,46.8,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",15,Month-to-month,Fiber optic,105.35,1559.25,Bank transfer (automatic),Yes,Female,0,Yes,Yes
463,4853-OITSN,46.8,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",5,Month-to-month,Fiber optic,89.15,413.25,Electronic check,Yes,Male,0,Yes,No
464,8993-IZEUX,46.8,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica",7,Month-to-month,Fiber optic,69.15,488.65,Bank transfer (automatic),No,Male,0,No,No
465,0988-JRWWP,46.8,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",3,Month-to-month,DSL,54.2,140.4,Electronic check,Yes,Female,0,No,No
466,5022-KVDQT,46.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",27,Month-to-month,Fiber optic,81.3,2272.8,Electronic check,Yes,Male,0,No,No
467,0093-EXYQL,46.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",40,Month-to-month,Fiber optic,91.55,3673.6,Electronic check,Yes,Female,1,No,No
468,3798-EPWRR,46.7,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",2,Month-to-month,DSL,43.95,85.1,Electronic check,No,Female,1,No,No
469,0265-PSUAE,46.6,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,100.7,1522.7,Bank transfer (automatic),No,Female,0,Yes,Yes
470,5899-OUVKV,46.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",31,Month-to-month,Fiber optic,94.5,2979.2,Electronic check,Yes,Male,0,No,No
471,8903-WMRNW,46.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",15,Month-to-month,Fiber optic,101.75,1669.4,Electronic check,No,Female,0,Yes,No
472,2523-EWWZL,46.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",27,Month-to-month,Fiber optic,76.1,2093.4,Electronic check,Yes,Female,0,Yes,No
473,8630-FJLIB,46.4,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico",18,Month-to-month,Fiber optic,69.8,1221.65,Electronic check,Yes,Female,0,No,No
474,0848-ZGQIJ,46.4,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,94.65,1461.15,Bank transfer (automatic),Yes,Female,0,Yes,No
475,9962-BFPDU,46.4,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,20.05,20.05,Mailed check,No,Female,0,Yes,Yes
476,4123-DVHPH,46.4,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,88.05,801.3,Electronic check,Yes,Male,0,Yes,No
477,8687-BAFGU,46.4,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,74.0,74.0,Electronic check,No,Male,0,No,No
478,5271-DBYSJ,46.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",11,Month-to-month,Fiber optic,79.15,827.7,Credit card (automatic),Yes,Male,1,No,No
479,5647-FXOTP,46.3,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",60,Month-to-month,Fiber optic,105.9,6401.25,Electronic check,Yes,Female,1,Yes,No
480,9389-ACWBI,46.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica",5,Month-to-month,Fiber optic,69.95,320.4,Credit card (automatic),No,Female,0,Yes,Yes
481,4546-FOKWR,46.2,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,74.75,1129.35,Credit card (automatic),Yes,Female,0,No,No
482,1769-GRUIK,46.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",18,Month-to-month,Fiber optic,71.1,1247.75,Electronic check,Yes,Female,0,No,No
483,1469-LBJQJ,46.0,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",66,Month-to-month,Fiber optic,105.2,6936.85,Electronic check,Yes,Female,0,Yes,No
484,1641-RQDAY,46.0,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",32,Month-to-month,Fiber optic,100.4,3217.65,Electronic check,Yes,Female,1,Yes,Yes
485,2369-FEVNO,45.9,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,19.9,19.9,Mailed check,Yes,Male,0,No,No
486,9450-TRJUU,45.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",35,Month-to-month,Fiber optic,83.15,2848.45,Electronic check,No,Male,0,No,No
487,1728-BQDMA,45.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",2,Month-to-month,DSL,44.45,82.7,Electronic check,No,Female,0,No,No
488,6103-BOCOU,45.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",26,Month-to-month,Fiber optic,80.7,2193.0,Electronic check,Yes,Female,0,No,No
489,1035-IPQPU,45.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",63,Month-to-month,Fiber optic,103.5,6479.4,Electronic check,Yes,Female,1,Yes,No
490,0682-USIXD,45.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",21,Month-to-month,Fiber optic,86.05,1818.9,Electronic check,Yes,Female,0,Yes,No
491,3644-QXEHN,45.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",13,Month-to-month,Fiber optic,97.0,1334.45,Electronic check,No,Male,0,Yes,Yes
492,6923-JHPMP,45.7,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,80.45,137.1,Electronic check,Yes,Female,0,No,No
493,4690-PKDQG,45.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",42,Month-to-month,Fiber optic,95.55,3930.6,Electronic check,Yes,Female,1,Yes,No
494,4661-NJEUX,45.7,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,20.05,20.05,Mailed check,Yes,Male,0,No,No
495,2697-NQBPF,45.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",34,Month-to-month,Fiber optic,105.35,3540.65,Electronic check,Yes,Male,0,No,No
496,2424-WVHPL,45.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,74.7,74.7,Electronic check,No,Male,1,No,No
497,2460-NGXBJ,45.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",11,Month-to-month,Fiber optic,75.2,775.3,Credit card (automatic),Yes,Male,1,Yes,Yes
498,7967-HYCDE,45.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",8,Month-to-month,Fiber optic,70.7,553.4,Bank transfer (automatic),No,Male,0,No,No
499,4183-MYFRB,45.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",21,Month-to-month,Fiber optic,90.05,1862.9,Electronic check,Yes,Female,0,No,No
500,4299-SIMNS,45.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,81.15,784.45,Electronic check,Yes,Male,0,No,No
501,4065-JJAVA,45.5,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,49.5,49.5,Electronic check,No,Female,0,No,No
502,1471-GIQKQ,45.5,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,49.95,49.95,Electronic check,No,Female,0,No,No
503,5129-JLPIS,45.4,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",25,Month-to-month,Fiber optic,105.5,2686.05,Electronic check,Yes,Male,0,No,No
504,1932-UEDCX,45.3,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",33,Month-to-month,Fiber optic,100.6,3270.25,Bank transfer (automatic),Yes,Male,1,Yes,No
505,9752-ZNQUT,45.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,48.6,48.6,Electronic check,Yes,Female,0,No,No
506,8544-GOQSH,45.3,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",14,Month-to-month,Fiber optic,80.05,1112.3,Credit card (automatic),Yes,Female,0,No,No
507,1307-ATKGB,45.3,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",24,Month-to-month,Fiber optic,89.55,2187.15,Electronic check,Yes,Male,0,No,No
508,4236-UJPWO,45.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",2,Month-to-month,DSL,24.5,46.4,Electronic check,No,Female,0,No,No
509,8981-FJGLA,45.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",11,Month-to-month,Fiber optic,78.0,851.8,Mailed check,Yes,Male,0,No,Yes
510,2101-RANCD,45.2,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",55,Month-to-month,Fiber optic,73.1,4144.9,Electronic check,Yes,Female,0,No,No
511,3524-WQDSG,45.1,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",43,Month-to-month,Fiber optic,99.3,4209.95,Bank transfer (automatic),Yes,Female,0,Yes,Yes
512,2903-YYTBW,45.1,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,44.55,44.55,Electronic check,No,Male,0,Yes,Yes
513,7924-GJZFI,45.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico",25,Month-to-month,Fiber optic,69.3,1813.1,Electronic check,Yes,Female,1,Yes,No
514,1104-TNLZA,45.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",28,Month-to-month,Fiber optic,105.8,2998.0,Electronic check,Yes,Male,1,Yes,No
515,3050-GBUSH,45.1,Médio,"Contrato mensal, Cliente novo (≤12 meses)",3,Month-to-month,DSL,34.8,113.95,Credit card (automatic),Yes,Female,0,No,No
516,5153-RTHKF,45.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",34,Month-to-month,Fiber optic,85.35,2896.6,Electronic check,No,Female,0,No,No
517,4828-FAZPK,45.0,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,79.95,1267.95,Credit card (automatic),Yes,Female,0,Yes,Yes
518,4570-QHXHL,45.0,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",9,Month-to-month,DSL,43.75,405.7,Electronic check,Yes,Female,0,No,No
519,5960-MVTUK,44.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",3,Month-to-month,DSL,29.75,96.85,Electronic check,Yes,Male,0,No,No
520,1251-STYSZ,44.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,80.25,303.7,Electronic check,Yes,Female,1,No,No
521,4647-MUZON,44.9,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",18,Month-to-month,Fiber optic,95.95,1745.5,Credit card (automatic),Yes,Female,0,Yes,No
522,5339-PXDVH,44.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,90.65,367.95,Electronic check,No,Male,0,No,No
523,2277-VWCNI,44.8,Médio,"Contrato mensal, Cliente novo (≤12 meses)",4,Month-to-month,DSL,48.75,179.85,Mailed check,No,Female,1,No,No
524,5294-DMSFH,44.8,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",29,Month-to-month,Fiber optic,87.8,2621.75,Credit card (automatic),Yes,Female,0,Yes,Yes
525,8648-PFRMP,44.8,Médio,"Contrato mensal, Pagamento por cheque eletrônico",14,Month-to-month,DSL,46.35,672.7,Electronic check,Yes,Female,1,No,No
526,5183-SNMJQ,44.8,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",10,Month-to-month,Fiber optic,95.1,865.1,Credit card (automatic),Yes,Male,0,No,No
527,0537-QYZZN,44.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",24,Month-to-month,Fiber optic,79.85,1857.75,Electronic check,Yes,Male,1,Yes,Yes
528,8785-CJSHH,44.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",60,Month-to-month,Fiber optic,99.8,5985.75,Electronic check,Yes,Female,0,Yes,No
529,4998-IKFSE,44.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",30,Month-to-month,Fiber optic,100.45,3096.9,Electronic check,No,Female,0,No,No
530,1536-HBSWP,44.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,49.9,49.9,Electronic check,Yes,Female,0,No,No
531,2504-DSHIH,44.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",23,Month-to-month,Fiber optic,86.8,1975.85,Electronic check,No,Male,1,Yes,No
532,9885-AIBVB,44.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",29,Month-to-month,Fiber optic,85.8,2440.25,Electronic check,Yes,Male,0,Yes,No
533,6080-TCMYC,44.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",40,Month-to-month,Fiber optic,81.2,3292.3,Electronic check,Yes,Male,0,Yes,Yes
534,1777-JYQPJ,44.5,Médio,"Contrato mensal, Cliente novo (≤12 meses)",2,Month-to-month,DSL,24.3,38.45,Mailed check,No,Male,0,No,No
535,0374-IOEGQ,44.4,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",3,Month-to-month,DSL,44.6,122.7,Electronic check,No,Female,0,No,No
536,9576-SYUHJ,44.4,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",37,Month-to-month,Fiber optic,91.15,3369.25,Electronic check,Yes,Male,0,No,No
537,3211-AAPKX,44.3,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",20,Month-to-month,Fiber optic,98.55,2031.95,Mailed check,Yes,Male,0,No,No
538,3196-NVXLZ,44.3,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",25,Month-to-month,Fiber optic,84.6,2088.05,Mailed check,Yes,Female,0,No,No
539,7718-RXDGG,44.3,Médio,"Contrato mensal, Internet fibra óptica",15,Month-to-month,Fiber optic,68.6,1108.6,Bank transfer (automatic),Yes,Male,0,Yes,No
540,6557-BZXLQ,44.2,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico",16,Month-to-month,Fiber optic,69.65,1043.3,Electronic check,No,Male,1,No,No
541,0793-TWELN,44.2,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,80.15,319.85,Electronic check,Yes,Female,0,No,No
542,3995-WFCSM,44.2,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",2,Month-to-month,DSL,60.85,111.4,Electronic check,No,Female,0,No,No
543,2480-SQIOB,44.0,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",4,Month-to-month,DSL,44.8,169.65,Electronic check,No,Male,0,Yes,Yes
544,0921-OHLVP,43.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",22,Month-to-month,Fiber optic,83.05,1799.3,Electronic check,No,Male,0,No,No
545,0315-LVCRK,43.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",11,Month-to-month,Fiber optic,84.8,888.75,Electronic check,No,Male,0,No,No
546,4128-ETESU,43.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",47,Month-to-month,Fiber optic,99.7,4747.2,Electronic check,No,Female,1,Yes,No
547,7404-JLKQG,43.9,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",3,Month-to-month,DSL,57.55,161.45,Electronic check,No,Female,0,No,No
548,5351-QESIO,43.9,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,DSL,24.2,24.2,Mailed check,No,Male,0,No,Yes
549,6088-BXMRG,43.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",32,Month-to-month,Fiber optic,98.85,3089.6,Electronic check,Yes,Female,0,Yes,Yes
550,6559-PDZLR,43.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",26,Month-to-month,Fiber optic,98.65,2537.0,Electronic check,Yes,Male,0,No,No
551,1302-UHBDD,43.8,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",20,Month-to-month,Fiber optic,89.95,1648.45,Electronic check,No,Male,1,No,No
552,7460-ITWWP,43.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",45,Month-to-month,Fiber optic,86.1,3861.45,Electronic check,Yes,Female,1,Yes,No
553,6128-AQBMT,43.7,Médio,"Contrato mensal, Pagamento por cheque eletrônico",41,Month-to-month,DSL,53.95,2215.4,Electronic check,Yes,Male,1,Yes,No
554,5651-YLPRD,43.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",32,Month-to-month,Fiber optic,86.1,2723.75,Electronic check,Yes,Female,0,Yes,Yes
555,3312-UUMZW,43.6,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",32,Month-to-month,Fiber optic,98.85,3145.9,Credit card (automatic),Yes,Male,0,Yes,No
556,3003-CMDUU,43.6,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",25,Month-to-month,Fiber optic,95.15,2395.7,Electronic check,Yes,Female,0,Yes,No
557,0771-WLCLA,43.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",16,Month-to-month,Fiber optic,112.95,1882.55,Electronic check,Yes,Female,0,Yes,Yes
558,1384-RCUXW,43.4,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,80.55,1248.9,Mailed check,Yes,Male,0,No,No
559,9167-APMXZ,43.4,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",22,Month-to-month,Fiber optic,84.15,1821.95,Bank transfer (automatic),Yes,Female,0,No,No
560,9629-NHXFW,43.4,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,19.4,19.4,Mailed check,Yes,Female,0,Yes,Yes
561,4741-WWJQZ,43.4,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,80.15,194.55,Electronic check,Yes,Female,0,Yes,No
562,5895-QSXOD,43.3,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",9,Month-to-month,Fiber optic,70.05,657.5,Mailed check,No,Male,0,No,No
563,3703-KBKZP,43.2,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",16,Month-to-month,Fiber optic,74.45,1261.35,Bank transfer (automatic),Yes,Male,1,No,No
564,3904-UKFRE,43.2,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,80.1,336.15,Electronic check,Yes,Male,0,No,No
565,2538-OIMXF,43.2,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,DSL,24.7,24.7,Mailed check,No,Female,0,No,Yes
566,4583-PARNH,43.2,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",16,Month-to-month,Fiber optic,91.55,1540.05,Electronic check,Yes,Male,1,Yes,No
567,8224-DWCKX,43.1,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",12,Month-to-month,Fiber optic,73.3,828.05,Credit card (automatic),Yes,Male,1,No,No
568,1013-QCWAM,43.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",66,Month-to-month,Fiber optic,100.8,6690.75,Electronic check,Yes,Female,1,Yes,No
569,2786-GCDPI,43.1,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",50,Month-to-month,Fiber optic,104.95,5222.35,Electronic check,Yes,Female,1,No,No
570,8378-LKJAF,43.0,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",38,Month-to-month,Fiber optic,101.15,3956.7,Credit card (automatic),Yes,Male,0,Yes,Yes
571,6994-KERXL,43.0,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",4,Month-to-month,DSL,55.9,238.5,Electronic check,Yes,Male,0,No,No
572,5906-BFOZT,43.0,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,19.5,19.5,Mailed check,Yes,Male,0,No,No
573,9261-WDCAF,42.9,Médio,"Contrato mensal, Cliente novo (≤12 meses)",3,Month-to-month,DSL,54.65,189.1,Mailed check,No,Male,0,No,No
574,3481-JHUZH,42.9,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",41,Month-to-month,Fiber optic,80.25,3439.0,Electronic check,Yes,Male,0,Yes,No
575,2692-BUCFV,42.8,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",29,Month-to-month,Fiber optic,101.45,2948.6,Bank transfer (automatic),Yes,Male,1,No,No
576,3545-CNWRG,42.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",49,Month-to-month,Fiber optic,98.35,4889.2,Electronic check,Yes,Female,0,Yes,Yes
577,1910-FMXJM,42.7,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",36,Month-to-month,Fiber optic,80.4,2937.65,Electronic check,No,Female,0,Yes,No
578,3439-GVUSX,42.7,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,DSL,24.4,24.4,Mailed check,No,Male,0,No,No
579,0015-UOCOJ,42.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",7,Month-to-month,DSL,48.2,340.35,Electronic check,Yes,Female,1,No,No
580,9398-MMQTO,42.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",3,Month-to-month,Fiber optic,74.45,221.1,Credit card (automatic),No,Male,0,No,No
581,9272-LSVYH,42.6,Médio,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",10,Month-to-month,Fiber optic,70.15,735.5,Mailed check,No,Male,0,No,No
582,9112-WSNPU,42.5,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",35,Month-to-month,Fiber optic,70.55,2419.0,Electronic check,No,Female,1,No,No
583,8566-YPRGL,42.4,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,19.5,19.5,Mailed check,Yes,Female,0,No,No
584,3370-GQEAL,42.4,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",30,Month-to-month,Fiber optic,85.45,2509.95,Electronic check,No,Male,0,Yes,Yes
585,6402-EJMWF,42.4,Médio,"Contrato mensal, Cliente novo (≤12 meses)",4,Month-to-month,DSL,55.3,238.5,Mailed check,Yes,Male,0,No,No
586,0701-RFGFI,42.3,Médio,"Contrato mensal, Internet fibra óptica, Mensalidade alta",49,Month-to-month,Fiber optic,95.4,4613.95,Bank transfer (automatic),Yes,Female,0,Yes,Yes
587,6817-WTYHE,42.3,Médio,"Contrato mensal, Cliente novo (≤12 meses)",2,Month-to-month,DSL,44.9,111.05,Bank transfer (automatic),No,Male,0,No,No
588,2277-DJJDL,42.3,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",60,Month-to-month,Fiber optic,99.0,6017.9,Electronic check,Yes,Male,1,Yes,No
589,0674-DGMAQ,42.3,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",32,Month-to-month,Fiber optic,93.5,2970.8,Electronic check,Yes,Male,1,Yes,No
590,7296-PIXQY,42.2,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",14,Month-to-month,Fiber optic,70.2,1046.5,Electronic check,No,Female,0,Yes,Yes
591,5461-QKNTN,42.2,Médio,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",43,Month-to-month,Fiber optic,94.3,3953.15,Electronic check,Yes,Male,1,Yes,No
592,7243-LCGGZ,42.1,Médio,"Contrato mensal, Cliente novo (≤12 meses)",1,Month-to-month,No,20.9,20.9,Mailed check,No,Female,0,No,No
